frame.time,frame.len,frame.protocols,eth.src,eth.dst,ip.dst,ip.src,ip.flags,ip.ttl,ip.proto,ip.checksum,ip.tos,tcp.srcport,tcp.dstport,tcp.flags,tcp.window_size_value,tcp.window_size_scalefactor,tcp.checksum,tcp.options,tcp.pdu.size,udp.srcport,udp.dstport,label_Benign
0,67,0,1,0,0,1,0,61,17,195,,,,,,,,,,36054,5683,True
1,56,1,0,1,1,0,0,64,17,136,,,,,,,,,,5683,36054,True
2,62,0,1,0,0,1,0,61,17,56,,,,,,,,,,51353,5683,True
3,56,1,0,1,1,0,0,64,17,133,,,,,,,,,,5683,51353,True
4,64,0,1,0,0,1,0,61,17,229,,,,,,,,,,37198,5683,True
5,58,1,0,1,1,0,0,64,17,132,,,,,,,,,,5683,37198,True
6,65,0,1,0,0,1,0,61,17,219,,,,,,,,,,49501,5683,True
7,56,1,0,1,1,0,0,64,17,131,,,,,,,,,,5683,49501,True
8,61,0,1,0,0,1,0,61,17,42,,,,,,,,,,33128,5683,True
9,58,1,0,1,1,0,0,64,17,127,,,,,,,,,,5683,33128,True
10,63,0,1,0,0,1,0,61,17,126,,,,,,,,,,47272,5683,True
11,474,0,0,1,1,0,0,64,17,150,,,,,,,,,,5683,47272,True
12,67,0,1,0,0,1,0,61,17,144,,,,,,,,,,36329,5683,True
13,55,1,0,1,1,0,0,64,17,252,,,,,,,,,,5683,36329,True
14,62,0,1,0,0,1,0,61,17,11,,,,,,,,,,46084,5683,True
15,55,1,0,1,1,0,0,64,17,251,,,,,,,,,,5683,46084,True
16,64,0,1,0,0,1,0,61,17,103,,,,,,,,,,39968,5683,True
17,58,1,0,1,1,0,0,64,17,250,,,,,,,,,,5683,39968,True
18,65,0,1,0,0,1,0,61,17,34,,,,,,,,,,43868,5683,True
19,56,1,0,1,1,0,0,64,17,247,,,,,,,,,,5683,43868,True
20,61,0,1,0,0,1,0,61,17,151,,,,,,,,,,53439,5683,True
21,58,1,0,1,1,0,0,64,17,242,,,,,,,,,,5683,53439,True
22,67,0,1,0,0,1,0,61,17,169,,,,,,,,,,49423,5683,True
23,56,1,0,1,1,0,0,64,17,235,,,,,,,,,,5683,49423,True
24,62,0,1,0,0,1,0,61,17,21,,,,,,,,,,50383,5683,True
25,56,1,0,1,1,0,0,64,17,234,,,,,,,,,,5683,50383,True
26,64,0,1,0,0,1,0,61,17,13,,,,,,,,,,38233,5683,True
27,58,1,0,1,1,0,0,64,17,231,,,,,,,,,,5683,38233,True
28,65,0,1,0,0,1,0,61,17,204,,,,,,,,,,58423,5683,True
29,56,1,0,1,1,0,0,64,17,230,,,,,,,,,,5683,58423,True
30,61,0,1,0,0,1,0,61,17,14,,,,,,,,,,52493,5683,True
31,58,1,0,1,1,0,0,64,17,228,,,,,,,,,,5683,52493,True
32,63,0,1,0,0,1,0,61,17,215,,,,,,,,,,56587,5683,True
33,474,0,0,1,1,0,0,64,17,44,,,,,,,,,,5683,56587,True
34,67,0,1,0,0,1,0,61,17,109,,,,,,,,,,38445,5683,True
35,56,1,0,1,1,0,0,64,17,248,,,,,,,,,,5683,38445,True
36,62,0,1,0,0,1,0,61,17,87,,,,,,,,,,49936,5683,True
37,55,1,0,1,1,0,0,64,17,246,,,,,,,,,,5683,49936,True
38,64,0,1,0,0,1,0,61,17,232,,,,,,,,,,53498,5683,True
39,58,1,0,1,1,0,0,64,17,244,,,,,,,,,,5683,53498,True
40,65,0,1,0,0,1,0,61,17,134,,,,,,,,,,60922,5683,True
41,56,1,0,1,1,0,0,64,17,243,,,,,,,,,,5683,60922,True
42,61,0,1,0,0,1,0,61,17,17,,,,,,,,,,58314,5683,True
43,57,1,0,1,1,0,0,64,17,238,,,,,,,,,,5683,58314,True
